Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450077511;FONTAINE_BOIS;GHM Bois;;;AVENUE DE LA CASCADE;PARIS 19EME ARRONDISSEMENT;NON;2021-02-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.385745390053539, 48.8799233783338]}";48.8799233783,2.38574539005
450080239;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.419263838531989, 48.9062819453884]}";48.9062819454,2.41926383853
450080317;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.305583572099801, 48.80287216949533]}";48.8028721695,2.3055835721
450080729;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE LOUIS DELAPORTE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.413703176653234, 48.84776381912286]}";48.8477638191,2.41370317665
450080776;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE DU PRE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.362634282524931, 48.89706588785869]}";48.8970658879,2.36263428252
450080385;FONTAINE_BOIS;GHM Bois;;;ALLEE BLAISE CENDRARS;PARIS 1ER ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.34535919580162, 48.86258370740265]}";48.8625837074,2.3453591958
450080172;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.376208813378863, 48.76212556148156]}";48.7621255615,2.37620881338
450080176;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-23T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.376343364771845, 48.76572888683844]}";48.7657288868,2.37634336477
450080280;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.370907020899802, 48.81161265998734]}";48.81161266,2.3709070209
450080290;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;NON;2020-11-26T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.3725797768616133, 48.80948320709805]}";48.8094832071,2.37257977686
450080295;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;NON;2020-11-26T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.369899925844043, 48.80864057232213]}";48.8086405723,2.36989992584
450080205;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.379773956323712, 48.75816878041161]}";48.7581687804,2.37977395632
450080210;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.345408798403696, 48.910359280371786]}";48.9103592804,2.3454087984
